rebalance_id,strategy_key,strategy_name,signal_date,trade_date,as_of_date,included_count,order_count,turnover_notional,nav_pre_rebalance,cash_end,gross_exposure_end,included_signal_ids
n2::2018-02-28,n2,N2 Core US Mirror NBIM Weight,2018-02-27,2018-02-28,2017-12-31,10,10,1.000000000000,1.000000000000,-0.000000000000,1.000000000000,2017-12-31::AAPL|2017-12-31::GOOGL|2017-12-31::MSFT|2017-12-31::AMZN|2017-12-31::META|2017-12-31::BRK.B|2017-12-31::JPM|2017-12-31::XOM|2017-12-31::NVDA|2017-12-31::TSLA
n2::2019-02-28,n2,N2 Core US Mirror NBIM Weight,2019-02-27,2019-02-28,2018-12-31,10,10,0.122166365891,1.022715177613,0.000000000000,1.000000000000,2018-12-31::MSFT|2018-12-31::AAPL|2018-12-31::GOOGL|2018-12-31::AMZN|2018-12-31::BRK.B|2018-12-31::META|2018-12-31::JPM|2018-12-31::XOM|2018-12-31::NVDA|2018-12-31::TSLA
n2::2020-02-26,n2,N2 Core US Mirror NBIM Weight,2020-02-25,2020-02-26,2019-12-31,10,10,0.095333371742,1.371597126151,-0.000000000000,1.000000000000,2019-12-31::AAPL|2019-12-31::MSFT|2019-12-31::GOOGL|2019-12-31::AMZN|2019-12-31::META|2019-12-31::BRK.B|2019-12-31::JPM|2019-12-31::XOM|2019-12-31::NVDA|2019-12-31::TSLA
n2::2021-02-26,n2,N2 Core US Mirror NBIM Weight,2021-02-25,2021-02-26,2020-12-31,10,10,0.318593877987,2.001323641744,0.000000000000,1.000000000000,2020-12-31::AAPL|2020-12-31::MSFT|2020-12-31::AMZN|2020-12-31::GOOGL|2020-12-31::META|2020-12-31::TSLA|2020-12-31::BRK.B|2020-12-31::JPM|2020-12-31::NVDA|2020-12-31::XOM
n2::2022-03-04,n2,N2 Core US Mirror NBIM Weight,2022-03-03,2022-03-04,2021-12-31,10,10,0.330652746488,2.412940418850,0.000000000000,1.000000000000,2021-12-31::AAPL|2021-12-31::MSFT|2021-12-31::GOOGL|2021-12-31::AMZN|2021-12-31::META|2021-12-31::TSLA|2021-12-31::NVDA|2021-12-31::BRK.B|2021-12-31::JPM|2021-12-31::XOM
n2::2023-03-08,n2,N2 Core US Mirror NBIM Weight,2023-03-07,2023-03-08,2022-12-31,10,10,0.307343463631,2.080558001912,0.000000000000,1.000000000000,2022-12-31::AAPL|2022-12-31::MSFT|2022-12-31::GOOGL|2022-12-31::AMZN|2022-12-31::BRK.B|2022-12-31::XOM|2022-12-31::META|2022-12-31::NVDA|2022-12-31::JPM|2022-12-31::TSLA
n2::2024-02-28,n2,N2 Core US Mirror NBIM Weight,2024-02-27,2024-02-28,2023-12-31,10,10,0.293058299047,3.217883499787,0.000000000000,1.000000000000,2023-12-31::MSFT|2023-12-31::AAPL|2023-12-31::GOOGL|2023-12-31::AMZN|2023-12-31::NVDA|2023-12-31::META|2023-12-31::TSLA|2023-12-31::BRK.B|2023-12-31::JPM|2023-12-31::XOM
n2::2024-08-15,n2,N2 Core US Mirror NBIM Weight,2024-08-14,2024-08-15,2024-06-30,10,10,0.548830165752,3.744776056485,0.000000000000,1.000000000000,2024-06-30::MSFT|2024-06-30::AAPL|2024-06-30::NVDA|2024-06-30::GOOGL|2024-06-30::AMZN|2024-06-30::META|2024-06-30::BRK.B|2024-06-30::JPM|2024-06-30::XOM|2024-06-30::TSLA
n2::2025-02-26,n2,N2 Core US Mirror NBIM Weight,2025-02-25,2025-02-26,2024-12-31,10,10,0.310773879668,4.069962580820,0.000000000000,1.000000000000,2024-12-31::AAPL|2024-12-31::MSFT|2024-12-31::NVDA|2024-12-31::GOOGL|2024-12-31::AMZN|2024-12-31::META|2024-12-31::TSLA|2024-12-31::BRK.B|2024-12-31::JPM|2024-12-31::XOM
n2::2025-08-13,n2,N2 Core US Mirror NBIM Weight,2025-08-12,2025-08-13,2025-06-30,10,10,0.371595226438,4.746438361124,0.000000000000,1.000000000000,2025-06-30::NVDA|2025-06-30::MSFT|2025-06-30::AAPL|2025-06-30::AMZN|2025-06-30::GOOGL|2025-06-30::META|2025-06-30::TSLA|2025-06-30::BRK.B|2025-06-30::JPM|2025-06-30::XOM
n2::2026-03-02,n2,N2 Core US Mirror NBIM Weight,2026-02-27,2026-03-02,2025-12-31,10,10,0.228101393119,4.885296666795,0.000000000000,1.000000000000,2025-12-31::NVDA|2025-12-31::AAPL|2025-12-31::MSFT|2025-12-31::GOOGL|2025-12-31::AMZN|2025-12-31::META|2025-12-31::TSLA|2025-12-31::BRK.B|2025-12-31::JPM|2025-12-31::XOM
